,Unnamed: 0.1,Unnamed: 0,REF_PERSONNE,RAISON_SOCIALE,MATRICULE_FISCALE,VILLE,LIB_GOUVERNORAT,LIB_SECTEUR_ACTIVITE,LIB_ACTIVITE,VILLE_GOUVERNORAT,TYPE_PERSONNE,NOM_PRENOM,DATE_NAISSANCE,CODE_SEXE,SITUATION_FAMILIALE,NUM_PIECE_IDENTITE,LIB_PROFESSION,AGE,contracts_count,branches_set,products_set,total_paid,active_contracts,expired_contracts,reduced_contracts,instance_contracts,terminated_contracts,suspended_contracts,claims_count
0,0,0,12122,SOCIETE_000001,0000001W,-,-,SERVICES PERSONNELS,ACTIVITÉS THERMALES ET DE THALASSOTHÉRAPIE,-,MORALE,-,-,-,-,-,-,,1.0,['AUTOMOBILE'],['AUTOMOBILE'],5106.2975,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,1,1,12145,SOCIETE_000002,0000002H,-,-,TRAVAIL DU BOIS ET FABRICATION D ARTICLES EN BOIS,FABRICATION D EMBALLAGES EN BOIS,-,MORALE,-,-,-,-,-,-,,1.0,['AUTOMOBILE'],['AUTOMOBILE'],1478.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,2,2,12169,SOCIETE_000003,0000003M,-,-,INTERMÉDIATION FINANCIÈRE,CRÉDIT BAIL,-,MORALE,-,-,-,-,-,-,,19.0,"['ENGINEERING', 'RISQUES DIVERS', 'AUTOMOBILE']","['AUTOMOBILE II', 'RC ENTREPRISE DE BATIMENT ET TRAVAUX PUBLIC', 'TOUS RISQUES CHANTIER', 'AUTOMOBILE']",4144.454037.45451.1531.1501.1484.1446.1446.11500432.1250411.94300426.794460.646530.515105.902508.7371808.63,0.0,15.0,0.0,0.0,4.0,0.0,6.0
3,3,3,12431,SOCIETE_000004,0000004J,SFAX,-,CONSTRUCTION,INSTALLATION D EAU ET DE GAZ,SFAX -,MORALE,-,-,-,-,-,-,,47.0,"['RISQUES DIVERS', 'AUTOMOBILE']","['AUTOMOBILE II', 'RC ENTREPRISE DE BATIMENT ET TRAVAUX PUBLIC', 'AUTOMOBILE']",302.5302.5337.92354.212276.9395.57411.6401.6485.412503.892332.9411.6431.1381.6401.6332.9431.1381.6344.9790.06339.32339.32762.98339.32335.57335.57319.07319.07319.07319.07319.07315.57315.57315.57315.57315.57315.57315.57337.12297.013297.013315.57315.57315.57315.57315.574000,0.0,46.0,0.0,0.0,1.0,0.0,4.0
4,4,4,12711,SOCIETE_000005,0000005F,SFAX,-,TRAVAIL DU BOIS ET FABRICATION D ARTICLES EN BOIS,FABRICATION D EMBALLAGES EN BOIS,SFAX  -,MORALE,-,-,-,-,-,-,,11.0,['AUTOMOBILE'],"['AUTOMOBILE II', 'AUTOMOBILE']",319.1303.1399.6361.6411.6411.6392.6368.6351.44348.44792.698,0.0,10.0,0.0,0.0,1.0,0.0,2.0
5,5,5,13028,SOCIETE_000006,0000006A,-,-,INDUSTRIES ALIMENTAIRES,"BISCOTTERIE, BISCUITERIE, PÂTISSERIE DE CONSERVATION",-,MORALE,-,-,-,-,-,-,,2.0,['AUTOMOBILE'],['AUTOMOBILE'],303.1985.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6,6,6,13587,SOCIETE_000007,0000007B,TUNIS BELVEDERE,-,SERVICES PERSONNELS,BLANCHISSERIE TEINTURERIE DE DÉTAIL,TUNIS BELVEDERE -,MORALE,-,-,-,-,-,-,,37.0,['AUTOMOBILE'],"['AUTOMOBILE II', 'AUTOMOBILE']",295.6311.6311.6311.6311.6401.6371.6391.6371.6391.6391.6401.6391.6371.6391.6391.6289.1401.6403.6383.6403.61324.731403.6383.6433.6453.6419.6403.6419.6419.6403.6419.63526.9623526.962436.6434.6436.6,0.0,32.0,0.0,0.0,5.0,0.0,4.0
7,7,7,13718,SOCIETE_000008,0000008L,BARDO (LE),-,AUTRES INDUSTRIES EXTRACTIVES,"EXTRACTION DE CALCAIRE INDUSTRIEL, DE GYPSE ET DE CRAIE",BARDO (LE) -,MORALE,-,-,-,-,-,-,,6.0,"['RISQUES DIVERS', 'AUTOMOBILE']","['INDIVIDUELLE ACCIDENTS', 'AUTOMOBILE']",10477.66753.76753.7625771.76,0.0,6.0,0.0,0.0,0.0,0.0,2.0
8,8,8,1183,SOCIETE_000009,0000009V,-,-,AUCUN,NON DEFINI,-,MORALE,-,-,-,-,-,-,,13.0,"['TRANSPORT', 'AUTOMOBILE']","['POLICE ABONNEMENT(FACULTE TERRESTRE)', 'AUTOMOBILE']",3702.5732.229732.2291206.744599.7934285.064599.7934285.064599.7934285.064285.064599.7935200,1.0,1.0,0.0,0.0,11.0,0.0,8.0
9,9,9,6431,SOCIETE_000010,0000010P,-,-,INTERMÉDIATION FINANCIÈRE,BANQUES,-,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
10,10,10,6958,SOCIETE_000011,0000011Z,TUNIS BELVEDERE,-,COMMERCE ET RÉPARATION AUTOMOBILE,COMMERCE DE GROS D ÉQUIPEMENTS AUTOMOBILES,TUNIS BELVEDERE -,MORALE,-,-,-,-,-,-,,5.0,['AUTOMOBILE'],['AUTOMOBILE'],35726265252,0.0,4.0,0.0,0.0,1.0,0.0,1.0
11,11,11,12068,SOCIETE_000012,0000012R,-,-,SERVICES PERSONNELS,AUTRES SERVICES PERSONNELS,-,MORALE,-,-,-,-,-,-,,1.0,['AUTOMOBILE'],['AUTOMOBILE II'],7604.18,1.0,0.0,0.0,0.0,0.0,0.0,6.0
